32	33	34	35	32	33	34	35	32	33	34	35	32	33	34	35
52	53	54	55	52	53	54	55	52	53	54	55	52	53	54	55
62	63	64	65	62	63	64	65	62	63	64	65	62	63	64	65
66	67	68	69	66	67	68	69	66	67	68	69	66	67	68	69
32	33	34	35	32	33	34	35	32	33	34	35	32	33	34	35
52	53	54	55	52	53	54	55	52	53	54	55	52	53	54	55
62	63	64	65	62	63	64	65	62	63	64	65	62	63	64	65
66	67	68	69	66	67	68	69	66	67	68	69	66	67	68	69
32	33	34	35	32	33	34	35	32	33	34	35	32	33	34	35
52	53	54	55	52	53	54	55	52	53	54	55	52	53	54	55
62	63	64	65	62	63	64	65	62	63	64	65	62	63	64	65
66	67	68	69	66	67	68	69	66	67	68	69	66	67	68	69
32	33	34	35	32	33	34	35	32	33	34	35	32	33	34	35
52	53	54	55	52	53	54	55	52	53	54	55	52	53	54	55
62	63	64	65	62	63	64	65	62	63	64	65	62	63	64	65
66	67	68	69	66	67	68	69	66	67	68	69	66	67	68	69
