2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5
2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5
2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5
2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5
2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5
2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5
6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9
6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9
6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9
6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9
6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9
6	6	6	6	6	6	7	7	7	7	7	7	8	8	8	8	8	8	9	9	9	9	9	9
16	16	16	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	19	19	19	19	19	19
16	16	16	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	19	19	19	19	19	19
16	16	16	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	19	19	19	19	19	19
16	16	16	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	19	19	19	19	19	19
16	16	16	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	19	19	19	19	19	19
16	16	16	16	16	16	17	17	17	17	17	17	18	18	18	18	18	18	19	19	19	19	19	19
36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	38	38	39	39	39	39	39	39
36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	38	38	39	39	39	39	39	39
36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	38	38	39	39	39	39	39	39
36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	38	38	39	39	39	39	39	39
36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	38	38	39	39	39	39	39	39
36	36	36	36	36	36	37	37	37	37	37	37	38	38	38	38	38	38	39	39	39	39	39	39
